id,date,content,category,tags
1,2023-01-05,今日は公園で小鳥にパンくずをあげたら、3羽も集まってきた！嬉しいな。,日常,自然,癒し
2,2023-01-12,新しいプロジェクトがスタート！チームメイトとランチでアイデアを話したよ。,仕事,新しい挑戦,チームワーク
3,2023-01-18,「にほんご５週間」の勉強を始めた。今日は助詞をマスター！,勉強,学習,成長
4,2023-01-23,羊毛フェルトで小さなクマを作った。ふわふわで可愛い♡,趣味,創作,手作り
5,2023-02-03,夜空を見ながら「宇宙の果てには何があるんだろう？」と考えていた。,思考,宇宙,好奇心
6,2023-02-11,温泉旅行の写真をアルバムに整理。湯けむりの思い出が蘇る～,旅行,温泉,思い出
7,2023-02-19,ヨガで体を伸ばしたら、肩の凝りがスッキリ！毎日続けよう。,健康,運動,リラックス
8,2023-02-27,初めての漫画投稿！読んでくれた友達が「面白い」と言ってくれた。,創作,芸術,挑戦
9,2023-03-04,「魔女の宅急便」を再読。キキの冒険心に憧れる～,読書,ファンタジー,癒し
10,2023-03-15,いちごのショートケーキを作った。スポンジがふんわり成功！,料理,スイーツ,美味しい
11,2023-03-22,空を飛んで富士山に登る夢を見た。不思議な気分で目が覚めた。,夢,空,不思議
12,2023-04-02,今年の目標：毎日１つ新しいことを学ぶ！今日はフランス語の挨拶。,目標,成長,挑戦
13,2023-04-11,「となりのトトロ」を３回目鑑賞。メイの無邪気さがたまらない♡,映画,アニメ,家族
14,2023-04-19,あつ森で島のデザインを変更。お花畑エリアが完成！,ゲーム,デザイン,創造
15,2023-04-25,YOASOBIの新曲を聴きながらお散歩。リズムに合わせて歩いたら楽しい♪,音楽,散歩,リラックス
16,2023-05-06,窓辺に小鳥が巣を作り始めた！毎朝の観察が楽しみ。,日常,自然,癒し
17,2023-05-14,お客様から「ありがとう」の手紙をもらって感動！,仕事,感謝,やりがい
18,2023-05-22,漢字検定の練習。難しいけど「薔薇」が書けるようになった！,勉強,挑戦,成長
19,2023-05-30,押し花でしおりを作成。春の花々が本の中でよみがえる♡,趣味,アート,手作り
20,2023-06-07,雨の日はなぜか懐かしい気持ちになる。子どもの頃を思い出す。,思考,思い出,感性
21,2023-06-15,鎌倉の海辺で朝日を見た。オレンジ色の光が波をキラキラさせてた。,旅行,海,自然
22,2023-06-23,朝食にスムージーを追加！りんごと人参の組み合わせが最高。,健康,食事,美味しい
23,2023-07-01,オリジナルキャラクター「まめちゃん」を誕生させた！,創作,アート,成長
24,2023-07-09,「こころ」を読了。夏目漱石の深い言葉に考えさせられる。,読書,文学,感動
25,2023-07-17,カラフルなゼリーを作った。ブルーハワイ味が一番人気！,料理,スイーツ,夏
26,2023-07-25,宇宙ステーションで猫と暮らす夢。無重力でふわふわ遊んだ！,夢,宇宙,猫
27,2023-08-03,貯金で憧れのカメラを購入目標！お小遣い帳をつけ始めた。,目標,節約,挑戦
28,2023-08-11,ジブリ映画マラソン！「耳をすませば」で青春を再体験。,映画,アニメ,感動
29,2023-08-19,マインクラフトで空中庭園を建設中。アイデアがどんどん湧く～,ゲーム,建築,創造
30,2023-08-27,ウクレレで「海の声」を練習。ゆっくりだけど弾けるようになった！,音楽,挑戦,達成感
31,2023-09-04,夕焼けがピンクとオレンジのグラデーションで感動した！,日常,自然,癒し
